caliper,measurement,displacement
0,3.219,-0.01
0,3.219,-0.01
0,3.216,0.00
0,3.219,-0.01
0,3.219,-0.01
0.38,2.746,0.40
0.38,2.736,0.41
0.38,2.746,0.40
0.38,2.746,0.40
0.38,2.755,0.39
0.88,2.285,0.86
0.88,2.275,0.88
0.88,2.282,0.87
0.88,2.285,0.86
0.88,2.295,0.85
1.38,1.95,1.36
1.38,1.959,1.34
1.38,1.94,1.38
1.38,1.943,1.37
1.38,1.943,1.37
1.88,1.679,1.92
1.88,1.679,1.92
1.88,1.689,1.89
1.88,1.692,1.89
1.88,1.698,1.87
2.38,1.495,2.40
2.38,1.489,2.41
2.38,1.489,2.41
2.38,1.492,2.41
2.38,1.495,2.40
2.88,1.354,2.83
2.88,1.334,2.90
2.88,1.344,2.87
2.88,1.354,2.83
2.88,1.347,2.86
