caliper,voltage,displacement
0,0.106,-0.155327098
0,0.106,-0.155327098
0,0.106,-0.155327098
3.64,0.403,3.608390107
3.64,0.403,3.608390107
3.64,0.403,3.608390107
3.64,0.406,3.646407453
3.64,0.403,3.608390107
3.64,0.406,3.646407453
7.64,0.725,7.688918525
7.64,0.725,7.688918525
7.64,0.725,7.688918525
7.64,0.725,7.688918525
7.64,0.725,7.688918525
7.64,0.728,7.72693587
11.64,1.041,11.69341225
11.64,1.041,11.69341225
11.64,1.041,11.69341225
11.64,1.038,11.65539491
11.64,1.038,11.65539491
11.64,1.038,11.65539491
15.64,1.357,15.69790598
15.64,1.354,15.65988863
15.64,1.354,15.65988863
15.64,1.354,15.65988863
15.64,1.354,15.65988863
15.64,1.357,15.69790598
19.64,1.669,19.65170991
19.64,1.669,19.65170991
19.64,1.666,19.61369256
19.64,1.666,19.61369256
19.64,1.669,19.65170991
19.64,1.666,19.61369256
23.64,1.985,23.65620364
23.64,1.982,23.61818629
23.64,1.985,23.65620364
23.64,1.982,23.61818629
23.64,1.985,23.65620364
23.64,1.982,23.61818629
27.64,2.304,27.69871471
27.64,2.301,27.66069736
27.64,2.301,27.66069736
27.64,2.301,27.66069736
27.64,2.304,27.69871471
27.64,2.301,27.66069736
31.64,2.617,31.66519109
31.64,2.614,31.62717374
31.64,2.617,31.66519109
31.64,2.614,31.62717374
31.64,2.617,31.66519109
31.64,2.617,31.66519109
39.1,3.194,38.97719387
39.1,3.194,38.97719387
39.1,3.194,38.97719387
