time,displacement,center diff
0,22.22421696,
0.01664,23.25068528,63.97149484
0.03328,24.3531883,55.21349257
0.04992,25.08819032,40.36296698
0.06656,25.69646784,54.07114444
0.0832,26.887678,62.82914671
0.09984,27.78742185,57.49818881
0.11648,28.80121773,58.64053693
0.13312,29.73897892,45.31314218
0.14976,30.3092391,28.17792034
0.1664,30.67674011,22.08539703
0.18304,31.04424111,18.65835266
0.19968,31.29769008,8.758002269
0.21632,31.33570743,1.142348122
0.23296,31.33570743,0
0.2496,31.33570743,-1.142348122
0.26624,31.29769008,-17.13522183
0.28288,30.76544724,-29.70105117
0.29952,30.3092391,-41.88609781
0.31616,29.37147791,-56.35584069
0.3328,28.43371672,-47.59783842
0.34944,27.78742185,-36.55513991
0.36608,27.21716166,-52.92879632
0.38272,26.02595151,-62.82914671
0.39936,25.12620766,-62.44836401
0.416,23.94766995,-71.20636628
0.43264,22.75645979,-59.02131964
0.44928,21.98344043,-44.17079405
0.46592,21.28645577,-52.92879632
0.48256,20.22197009,-54.07114444
0.4992,19.48696808,-44.17079405
0.51584,18.75196607,-41.5053151
0.53248,18.10567119,-30.46261659
0.54912,17.73817019,-18.27756995
0.56576,17.49739366,-8.758002269
0.5824,17.44670387,-1.523130829
0.59904,17.44670387,0
0.61568,17.44670387,0
0.63232,17.44670387,0
0.64896,17.44670387,1.523130829
0.6656,17.49739366,22.08539703
0.68224,18.18170588,37.69748803
0.69888,18.75196607,27.03557222
0.71552,19.08144973,23.60852786
0.73216,19.53765787,27.03557222
0.7488,19.98119357,27.03557222
0.76544,20.43740172,29.32026847
0.78208,20.9569721,26.65478952
0.79872,21.32447311,18.65835266
0.81536,21.57792208,12.56582934
0.832,21.74266391,8.377219562
0.84864,21.85671595,6.092523318
0.86528,21.94542309,1.523130829
0.88192,21.90740574,-1.142348122
0.89856,21.90740574,0
0.9152,21.90740574,-4.950175196
0.93184,21.74266391,-22.08539703
0.94848,21.17240373,-30.8433993
0.96512,20.71619558,-31.98574742
0.98176,20.10791806,-31.98574742
0.9984,19.65170991,-22.08539703
1.01504,19.37291604,-20.5622662
1.03168,18.96739769,-25.8932241
1.04832,18.51118954,-25.8932241
1.06496,18.10567119,-23.22774515
1.0816,17.73817019,-19.80070078
1.09824,17.44670387,-13.70817746
1.11488,17.28196204,-6.092523318
1.13152,17.24394469,-1.142348122
1.14816,17.24394469,0
1.1648,17.24394469,13.70817746
1.18144,17.70015284,28.17792034
1.19808,18.18170588,24.37009327
1.21472,18.51118954,28.17792034
1.23136,19.11946707,45.31314218
1.248,20.01921092,50.64410008
1.26464,20.80490272,61.30601588
1.28128,22.05947512,72.3487144
1.29792,23.21266794,56.7366234
1.31456,23.94766995,46.4554903
1.3312,24.75870666,60.16366776
1.34784,25.94991681,62.82914671
1.36448,26.84966066,60.16366776
1.38112,27.95216368,59.78288506
1.39776,28.83923507,44.17079405
1.4144,29.4221677,35.79357449
1.43104,30.03044523,33.12809554
1.44768,30.52467072,25.8932241
1.46432,30.89217173,20.5622662
1.48096,31.20898294,14.46974288
1.4976,31.37372477,8.758002269
1.51424,31.50044926,3.807827074
1.53088,31.50044926,0
1.54752,31.50044926,-8.758002269
1.56416,31.20898294,-34.27044366
1.5808,30.35992889,-51.40566549
1.59744,29.49820239,-43.02844593
1.61408,28.92794221,-35.41279178
1.63072,28.31966468,-52.92879632
1.64736,27.16647187,-70.06401815
1.664,25.98793416,-77.29888959
1.68064,24.59396482,-88.34158811
1.69728,23.04792611,-79.58358584
1.71392,21.94542309,-70.06401815
1.73056,20.71619558,-82.24906479
1.7472,19.20817421,-87.19923999
1.76384,17.81420488,-89.48393623
1.78048,16.23014881,-89.48393623
1.79712,14.83617948,-67.77932191
1.81376,13.97445298,-47.97862113
1.8304,13.23945097,-44.17079405
1.84704,12.50444895,-38.07827074
1.86368,11.97220612,-24.37009327
1.88032,11.69341225,-13.32739476
1.89696,11.52867042,-7.23487144
1.9136,11.45263573,-3.807827074
1.93024,11.40194594,1.142348122
1.94688,11.49065307,15.99287371
1.96352,11.93418877,23.22774515
1.98016,12.26367243,39.22061886
1.9968,13.23945097,57.49818881
