Rotameter,Nozzle,Orifice,Turbine meter,Laminar element,Magnehelic,Inclinometer,Flow Temp,K
94,16.3,33.5,639.9,37.0,170.0,17.0,22,0.6011599999999999
85,13.1,26.5,569.9,30.0,13.5,134.0,22,0.60144
77,10.9,22.1,517.0,25.5,11.0,110.0,22,0.601616
69,9.1,17.3,458.0,20.0,8.5,84.0,22,0.601862
60,6.6,12.9,396.0,15.0,6.5,63.0,22,0.602336
50,5.1,9.0,331.0,11.5,4.5,43.0,22,0.6029
42,3.3,6.4,281.0,9.0,3.2,32.0,22,0.60348
33,2.1,3.9,220.0,6.5,2.0,20.5,22,0.60458
24,1.1,2.1,162.0,4.5,1.0,11.0,22,0.6064700000000001
16,0.5,0.9,109.4,3.0,0.5,5.0,22,0.6095
